"Company Name","Location","Monthly Rate","Status","Link"
"Radix Trading","Chicago, IL -  Summer / 2025","$28,890 / mo","Apply","https://boards.greenhouse.io/radixuniversity/jobs/7463231002?ref=levels.fyi"
"Five Rings","New York City, NY -  Summer / 2025","$24,917 / mo","Apply","https://job-boards.greenhouse.io/fiveringsllc/jobs/4069548008?ref=levels.fyi"
"SIG","Bala Cynwyd, PA -  Summer / 2025","$23,833 / mo","Apply","https://careers.sig.com/job/8325/Quantitative-Trader-Internship-Summer-2025?ref=levels.fyi"
"D.E. Shaw","New York City, NY -  Summer / 2024","$22,000 / mo","Apply","https://www.deshaw.com/careers/software-developer-intern-new-york-summer-2024-4803?ref=levels.fyi"
"Tower Research Capital","New York City, NY -  Summer / 2024","$21,724 / mo","Not Open","https://www.tower-research.com/open-positions/?gh_jid=4360111&ref=levels.fyi"
"Citadel","New York City, NY -  Summer / 2024","$21,667 / mo","Not Open","https://www.citadel.com/careers/details/software-engineer-intern-us/?ref=levels.fyi"
"Optiver","Chicago, IL -  Summer / 2024","$21,667 / mo","Apply","https://optiver.com/working-at-optiver/career-opportunities/?_gl=1*rzd3uv*_up*MQ..&gclid=CjwKCAjw-7OlBhB8EiwAnoOEk9DE1HiDcs8Rzl5UWzLbMcHX2U_phUQrWHrl4A-soUm_cw8fMfCC3BoCcBcQAvD_BwE&numberposts=10&paged=1&search=intern&ref=levels.fyi"
"Jane Street","New York City, NY -  Summer / 2025","$20,833 / mo","Apply","https://www.janestreet.com/join-jane-street/open-roles/?type=internship&location=new-york&ref=levels.fyi"
"Hudson River Trading","New York City, NY -  Summer / 2025","$20,800 / mo","Apply","https://www.hudsonrivertrading.com/careers/?_4118765=Internship&ref=levels.fyi"
"Quadrature Capital","London, United Kingdom -  Summer / 2024","$20,348 / mo","Not Open","https://boards.greenhouse.io/quadraturecapital/jobs/4255974?ref=levels.fyi"
"Citadel Securities","New York City, NY -  Summer / 2024","$18,633 / mo","Apply","https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-graduate-us-2/?ref=levels.fyi"
"Schonfeld","New York City, NY -  Summer / 2024","$18,333 / mo","Apply","https://boards.greenhouse.io/schonfeld/jobs/5359234?ref=levels.fyi"
"Two Sigma","New York City, NY -  Summer / 2024","$18,200 / mo","Not Open","https://careers.twosigma.com/careers/JobDetail/New-York-New-York-United-States-Quantitative-Researcher-Internship-2024-Summer/12004?ref=levels.fyi"
"Virtu Financial","New York City, NY -  Summer / 2025","$17,333 / mo","Apply","https://job-boards.greenhouse.io/virtu/jobs/7424419002?ref=levels.fyi"
"IMC Trading","Sydney, Australia -  Summer / 2024","$16,500 / mo","Apply","https://careers.imc.com/us/en/job/REQ-02926/Software-Engineer-Intern-2024-2025-EXPRESSION-OF-INTEREST?ref=levels.fyi"
"DRW","Chicago, IL -  Summer / 2025","$15,797 / mo","Apply","https://drw.com/work-at-drw/listings/quantitative-trading-analyst-intern-2900660?ref=levels.fyi"
